siKoda;normalizirana;SLOVENSKI NAZIV
V28.22;V2822;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, terenski motocikel
V28.28;V2828;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V28.29;V2829;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, neopredeljen motocikel
V28.3;V283;Motorist, poškodovan v transportni nezgodi brez trčenja, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega
V28.30;V2830;Motorist, poškodovan v transportni nezgodi brez trčenja, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, moped ali kolo z motorjem
V28.31;V2831;Motorist, poškodovan v transportni nezgodi brez trčenja, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, cestni motocikel
V28.32;V2832;Motorist, poškodovan v transportni nezgodi brez trčenja, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, terenski motocikel
V28.38;V2838;Motorist, poškodovan v transportni nezgodi brez trčenja, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, drug opredeljen motocikel
V28.39;V2839;Motorist, poškodovan v transportni nezgodi brez trčenja, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, neopredeljen motocikel
V28.4;V284;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v prometni nezgodi
V28.40;V2840;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V28.41;V2841;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v prometni nezgodi, cestni motocikel
V28.42;V2842;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v prometni nezgodi, terenski motocikel
V28.48;V2848;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V28.49;V2849;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v prometni nezgodi, neopredeljen motocikel
V28.5;V285;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v prometni nezgodi
V28.50;V2850;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V28.51;V2851;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v prometni nezgodi, cestni motocikel
V28.52;V2852;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v prometni nezgodi, terenski motocikel
V28.58;V2858;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V28.59;V2859;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v prometni nezgodi, neopredeljen motocikel
V28.9;V289;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju, poškodovana v prometni nezgodi
V28.90;V2890;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, moped ali kolo z motorjem
V28.91;V2891;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, cestni motocikel
V28.92;V2892;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, terenski motocikel
V28.98;V2898;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, drug opredeljen motocikel
V28.99;V2899;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, neopredeljen motocikel
V29;V29;Motorist, poškodovan v drugih in neopredeljenih transportnih nezgodah
V29.0;V290;Voznik, poškodovan pri trčenju z drugimi in neopredeljenimi motornimi vozili v neprometni nezgodi
V29.1;V291;Potnik, poškodovan pri trčenju z drugimi in neopredeljenimi motornimi vozili v neprometni nezgodi
V29.2;V292;Neopredeljena oseba na motorju, poškodovana pri trčenju z drugimi in neopredeljenimi motornimi vozili v neprometni nezgodi
V29.3;V293;Motorist [kateri koli], poškodovan v neopredeljeni neprometni nezgodi
V29.4;V294;Voznik, poškodovan pri trčenju z drugimi in neopredeljenimi motornimi vozili v prometni nezgodi
V29.5;V295;Potnik, poškodovan pri trčenju z drugimi in neopredeljenimi motornimi vozili v prometni nezgodi
V29.6;V296;Neopredeljena oseba na motorju, poškodovana pri trčenju z drugimi in neopredeljenimi motornimi vozili v prometni nezgodi
V29.8;V298;Motorist [kateri koli], poškodovan v drugih opredeljenih transportnih nezgodah
V29.9;V299;Motorist [kateri koli], poškodovan v neopredeljeni prometni nezgodi
V30;V30;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo
V30.0;V300;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v neprometni nezgodi
V30.1;V301;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v neprometni nezgodi
V30.2;V302;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani vozila, poškodovana v neprometni nezgodi
V30.3;V303;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v motornem vozilu na tri kolesa, poškodovana v   neprometni nezgodi
V30.4;V304;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem
V30.5;V305;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi
V30.6;V306;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi
V30.7;V307;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba zunaj vozila, poškodovana v prometni nezgodi
V30.9;V309;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba motornega vozila na tri kolesa, poškodovana v prometni nezgodi
V31;V31;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom
V31.0;V310;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, voznik, poškodovan v neprometni nezgodi
V31.1;V311;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, potnik, poškodovan v neprometni nezgodi
V31.2;V312;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, oseba na zunanji strani vozila, poškodovana v neprometni nezgodi
V31.3;V313;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, neopredeljena oseba v motornem vozilu na tri kolesa, poškodovana v   neprometni nezgodi
V31.4;V314;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem
V31.5;V315;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, voznik, poškodovan v prometni nezgodi
V31.6;V316;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, potnik, poškodovan v prometni nezgodi
V31.7;V317;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, oseba zunaj vozila, poškodovana v prometni nezgodi
V31.9;V319;Oseba v trokolesnem motornem vozilu, poškodovana v trčenju s kolesom, neopredeljena oseba motornega vozila na tri kolesa, poškodovana v prometni nezgodi
V32;V32;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom
V32.0;V320;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi
V32.1;V321;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi
V32.2;V322;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, oseba na zunanji strani vozila, poškodovana v neprometni nezgodi
V32.3;V323;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, neopredeljena oseba v motornem vozilu na tri kolesa, poškodovana v   neprometni nezgodi
V32.4;V324;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem
V32.5;V325;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, voznik, poškodovan v prometni nezgodi
V32.6;V326;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, potnik, poškodovan v prometni nezgodi
V32.7;V327;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, oseba zunaj vozila, poškodovana v prometni nezgodi
V32.9;V329;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z dvo- ali trokolesnim motornim vozilom, neopredeljena oseba motornega vozila na tri kolesa, poškodovana v prometni nezgodi
V33;V33;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem
V33.0;V330;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, voznik, poškodovan v neprometni nezgodi
V33.1;V331;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, potnik, poškodovan v neprometni nezgodi
V33.2;V332;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, oseba na zunanji strani vozila, poškodovana v neprometni nezgodi
V33.3;V333;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, neopredeljena oseba v motornem vozilu na tri kolesa, poškodovana v   neprometni nezgodi
V33.4;V334;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, oseba, poškodovana med vstopanjem ali izstopanjem
V33.5;V335;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, voznik, poškodovan v prometni nezgodi
V33.6;V336;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, potnik, poškodovan v prometni nezgodi
V33.7;V337;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, oseba zunaj vozila, poškodovana v prometni nezgodi
V33.9;V339;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z avtomobilom, poltovornjakom, kombijem, neopredeljena oseba motornega vozila na tri kolesa, poškodovana v prometni nezgodi
V34;V34;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom
V34.0;V340;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, voznik, poškodovan v neprometni nezgodi
V34.1;V341;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, potnik, poškodovan v neprometni nezgodi
V34.2;V342;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, oseba na zunanji strani vozila, poškodovana v neprometni nezgodi
V34.3;V343;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, neopredeljena oseba v motornem vozilu na tri kolesa, poškodovana v   neprometni nezgodi
V34.4;V344;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, oseba, poškodovana med vstopanjem ali izstopanjem
V34.5;V345;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, voznik, poškodovan v prometni nezgodi
V34.6;V346;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, potnik, poškodovan v prometni nezgodi
V34.7;V347;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, oseba zunaj vozila, poškodovana v prometni nezgodi
V34.9;V349;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenje s težjim transportnim vozilom ali z avtobusom, neopredeljena oseba motornega vozila na tri kolesa, poškodovana v prometni nezgodi
V35;V35;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih
V35.0;V350;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v neprometni nezgodi
V35.1;V351;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v neprometni nezgodi
V35.2;V352;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, oseba na zunanji strani vozila, poškodovana v neprometni nezgodi
V35.3;V353;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba v motornem vozilu na tri kolesa, poškodovana v   neprometni nezgodi
V35.4;V354;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, oseba, poškodovana med vstopanjem ali izstopanjem
V35.5;V355;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v prometni nezgodi
V35.6;V356;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v prometni nezgodi
V35.7;V357;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, oseba zunaj vozila, poškodovana v prometni nezgodi
V35.9;V359;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba motornega vozila na tri kolesa, poškodovana v prometni nezgodi
V36;V36;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom
V36.0;V360;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v neprometni nezgodi
V36.1;V361;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v neprometni nezgodi
V36.2;V362;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, oseba na zunanji strani vozila, poškodovana v neprometni nezgodi
V36.3;V363;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba v motornem vozilu na tri kolesa, poškodovana v   neprometni nezgodi
V36.4;V364;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem
V36.5;V365;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v prometni nezgodi
V36.6;V366;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v prometni nezgodi
V36.7;V367;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, oseba zunaj vozila, poškodovana v prometni nezgodi
V36.9;V369;Oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba motornega vozila na tri kolesa, poškodovana v prometni nezgodi
V37;V37;Oseba v trokolesnem mot. vozilu, poškodovana pri trčenju z nepremičnim ali mirujočim predmetom
